#Datasets, 4_TES_45_mRNA, 5_TES_129_mRNA, 7_TES_027_mRNA, 17_TES_144_mRNA, 23_TES_136_mRNA, 32_TES_43_mRNA, 37_TES_034_mRNA, 42_TES_027_mRNA, 44_TES_140_mRNA, 49_TES_40_mRNA, 55_TES_134_mRNA, 58_TES_130_merged_mRNA, 59_TES_139_mRNA, 66_TES_026_mRNA, 70_TES_135_mRNA, 73_TES_031_mRNA, 79_TES_35_mRNA, 85_TES_029_mRNA, 86_TES_44_mRNA, 87_TES_128_mRNA, 90_TES_138_mRNA, 104_TES_131_mRNA, 110_TES_036_mRNA, 113_TES_122_mRNA, 117_TES_141_mRNA, 119_TES_042_mRNA, 122_TES_121_mRNA, 123_TES_033_mRNA, 130_TES_133_mRNA, 137_TES_038_mRNA, 143_TES_025_mRNA
"K1000630 Glyoxylate and dicarboxylate metabolism", 2752, 5534, 7300, 5450, 4156, 0, 9172, 6585, 9021, 6100, 4369, 1479, 1458, 4269, 4515, 4396, 4555, 4422, 10062, 4245, 8450, 11451, 10421, 8121, 4787, 540, 2370, 5510, 7093, 7995, 6844
"K1000640 Propanoate metabolism", 4194, 8934, 10973, 8407, 7879, 0, 13549, 9501, 14342, 9000, 6949, 2298, 2282, 6876, 7659, 6340, 6278, 6357, 16249, 7434, 13108, 18320, 16322, 13349, 7439, 774, 4011, 8408, 11017, 12690, 10468
"K1000650 Butanoate metabolism", 3540, 8577, 11422, 9408, 8151, 0, 11751, 9941, 14622, 7578, 6740, 3984, 2159, 6693, 7589, 7175, 6986, 6203, 17176, 7599, 16457, 22635, 16987, 12709, 7846, 753, 3695, 8049, 13163, 11554, 9357
"K1000660 C5-Branched dibasic acid metabolism", 1057, 2382, 3201, 2417, 1767, 0, 3508, 2281, 3968, 2160, 1931, 658, 553, 1671, 2062, 1786, 1719, 1787, 4278, 1984, 3869, 4779, 4273, 3438, 2321, 180, 998, 2284, 2887, 3480, 2655
"K1000562 Inositol phosphate metabolism", 1033, 2100, 3116, 2114, 1307, 0, 2731, 2611, 2811, 1833, 1209, 535, 662, 1134, 2204, 1498, 1545, 1445, 2797, 1370, 2677, 4969, 2730, 2697, 1750, 214, 1103, 1746, 2098, 2307, 1895
"K1000190 Oxidative phosphorylation", 7424, 12445, 19238, 14164, 9306, 0, 16781, 23308, 14310, 9865, 7167, 3539, 4799, 6178, 12209, 12065, 9448, 8631, 15262, 8387, 16618, 34493, 15344, 13793, 11890, 1889, 6040, 11880, 12488, 12328, 12504
"K1000195 Photosynthesis", 919, 1837, 2466, 2509, 1042, 0, 2493, 2365, 2262, 1375, 1099, 449, 670, 1057, 1860, 1408, 1007, 1334, 2748, 1147, 3048, 4576, 2521, 2005, 1861, 203, 890, 2047, 1897, 1995, 1569
"K1000196 Photosynthesis - antenna proteins", 1, 1, 0, 31, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1
"K1000710 Carbon fixation in photosynthetic organisms", 2450, 5485, 8295, 5477, 4296, 0, 7257, 6247, 7341, 4334, 3804, 1491, 1385, 3350, 5608, 3930, 3786, 3838, 7466, 3901, 6411, 10370, 7938, 6843, 4508, 513, 2553, 5014, 5904, 6410, 5426
"K1000720 Carbon fixation pathways in prokaryotes", 2874, 6053, 8358, 6288, 4847, 0, 8934, 6573, 9100, 5896, 4397, 1530, 1563, 4482, 5381, 4785, 4406, 4844, 11051, 4880, 10147, 14599, 9939, 8115, 5898, 556, 2748, 6100, 6938, 8657, 6409
"K1000680 Methane metabolism", 5018, 9787, 12860, 10168, 7692, 0, 15608, 10937, 18505, 10444, 8046, 2799, 2433, 8349, 8600, 7640, 7787, 8162, 18316, 7745, 14720, 19358, 20962, 15030, 8976, 838, 4700, 9654, 13842, 14136, 11689
"K1000910 Nitrogen metabolism", 2928, 5993, 8487, 5900, 6182, 0, 9968, 6627, 8999, 7590, 4813, 1534, 1678, 4407, 4711, 4828, 4334, 4685, 12679, 4834, 10410, 14116, 8888, 7834, 6057, 537, 2507, 6015, 6442, 8358, 8312
"K1000920 Sulfur metabolism", 1106, 2196, 2887, 2129, 1494, 0, 3209, 2440, 3237, 1860, 1509, 561, 555, 1374, 1841, 1615, 1855, 1755, 3524, 1611, 2999, 4872, 3279, 3117, 2013, 175, 920, 2199, 2366, 2834, 2077
"K1000061 Fatty acid biosynthesis", 1544, 3136, 4494, 3088, 2856, 0, 4678, 3362, 5539, 2834, 2250, 855, 909, 2184, 2823, 2421, 2116, 2302, 5486, 2701, 4121, 7009, 6038, 5112, 2789, 252, 1450, 3121, 4026, 4363, 3470
"K1000062 Fatty acid elongation", 19, 61, 73, 83, 29, 0, 65, 110, 41, 54, 24, 20, 14, 18, 61, 53, 19, 42, 32, 26, 18, 147, 43, 44, 21, 14, 31, 45, 64, 55, 56
"K1000071 Fatty acid degradation", 2851, 6034, 7428, 5682, 5722, 0, 8257, 6882, 10430, 5169, 4260, 1592, 1517, 4524, 5560, 4561, 4267, 4397, 11417, 5166, 9764, 14118, 12321, 9225, 5177, 572, 2898, 5632, 8155, 7644, 7342
"K1000072 Synthesis and degradation of ketone bodies", 696, 1708, 2023, 1514, 1665, 0, 2051, 1582, 2802, 1312, 1288, 458, 374, 1320, 1573, 1184, 1093, 1146, 3454, 1697, 2971, 4035, 3700, 2592, 1416, 139, 859, 1595, 2440, 2177, 1767
"K1000100 Steroid biosynthesis", 359, 752, 1173, 701, 546, 0, 1131, 1587, 816, 699, 487, 190, 206, 375, 718, 564, 567, 503, 810, 465, 678, 1308, 903, 801, 599, 121, 392, 682, 700, 1085, 735
"K1000120 Primary bile acid biosynthesis", 60, 128, 164, 142, 90, 0, 176, 191, 167, 112, 87, 27, 29, 64, 129, 122, 87, 109, 179, 105, 136, 275, 217, 149, 96, 16, 44, 122, 151, 145, 130
"K1000121 Secondary bile acid biosynthesis", 3, 4, 13, 8, 8, 0, 9, 13, 4, 6, 9, 4, 1, 0, 8, 2, 12, 3, 3, 5, 1, 11, 11, 14, 9, 0, 3, 3, 7, 8, 4
"K1000140 Steroid hormone biosynthesis", 667, 1994, 1827, 1140, 1563, 0, 2262, 1443, 1545, 1741, 2116, 498, 263, 928, 1230, 800, 772, 622, 1627, 1319, 1945, 1147, 1365, 2385, 1017, 110, 625, 1034, 1259, 2346, 1624
"K1000561 Glycerolipid metabolism", 1364, 2656, 3474, 2864, 2039, 0, 3533, 3868, 3713, 2476, 1754, 708, 746, 1665, 2329, 2056, 1937, 2127, 4255, 1720, 3437, 6471, 4172, 3321, 2247, 296, 1293, 2519, 2970, 3093, 2838
"K1000564 Glycerophospholipid metabolism", 1000, 1918, 3067, 1929, 1360, 0, 2694, 2819, 3453, 1619, 1265, 604, 573, 1119, 2203, 1761, 1746, 1638, 3840, 1449, 3901, 7996, 3060, 3257, 1957, 207, 1121, 1938, 2221, 2286, 1951
"K1000565 Ether lipid metabolism", 313, 583, 926, 535, 414, 0, 815, 701, 909, 502, 333, 143, 157, 282, 942, 416, 624, 400, 647, 339, 543, 1262, 655, 891, 410, 48, 433, 428, 522, 648, 628
"K1000600 Sphingolipid metabolism", 1035, 2744, 2963, 1906, 1911, 0, 3137, 2537, 2029, 2152, 2389, 690, 494, 1074, 1902, 1279, 1236, 995, 1786, 1591, 2013, 2511, 1643, 3088, 1384, 190, 962, 1641, 1656, 2878, 2054
"K1000590 Arachidonic acid metabolism", 361, 740, 1125, 691, 486, 0, 1166, 880, 1139, 626, 588, 195, 195, 481, 732, 569, 525, 468, 1060, 512, 770, 1249, 1270, 1191, 568, 78, 378, 711, 870, 942, 660
"K1000591 Linoleic acid metabolism", 29, 123, 172, 60, 84, 0, 53, 90, 51, 22, 51, 23, 9, 15, 93, 67, 39, 47, 215, 78, 342, 509, 38, 83, 121, 11, 36, 65, 48, 44, 27
"K1000592 alpha-Linolenic acid metabolism", 132, 294, 331, 266, 145, 0, 319, 307, 406, 194, 149, 77, 68, 151, 213, 222, 201, 233, 647, 224, 625, 1106, 448, 324, 242, 25, 117, 289, 310, 289, 459
"K1001040 Biosynthesis of unsaturated fatty acids", 864, 2612, 3734, 1837, 2724, 0, 2620, 2321, 2691, 1634, 1534, 584, 496, 1168, 2190, 1452, 1339, 1169, 3079, 2267, 2964, 5046, 2801, 3162, 2101, 175, 944, 1650, 2117, 2600, 2101
"K1000230 Purine metabolism", 10035, 22938, 33037, 22939, 16453, 0, 30624, 22396, 31553, 18285, 15890, 5846, 5545, 16053, 21240, 16407, 15181, 16682, 36181, 17988, 37474, 48379, 41818, 28523, 22968, 1836, 10840, 21329, 28521, 29860, 19450
"K1000240 Pyrimidine metabolism", 8201, 19090, 27106, 19111, 13634, 0, 24565, 18096, 24841, 15098, 13003, 4712, 4597, 13110, 17735, 12928, 11737, 13726, 28810, 14805, 30950, 37924, 34567, 22565, 19080, 1509, 9016, 17282, 23409, 24701, 15177
"K1000250 Alanine, aspartate and glutamate metabolism", 4165, 9129, 13364, 9150, 6365, 0, 12771, 10183, 13709, 7822, 6352, 2428, 2531, 5861, 7728, 7410, 6319, 7376, 17221, 6832, 15734, 25567, 13970, 12007, 9149, 805, 3812, 9173, 9936, 11919, 9167
"K1000260 Glycine, serine and threonine metabolism", 2488, 5107, 6960, 5247, 3109, 0, 7728, 6189, 11210, 4592, 3922, 1548, 1364, 4257, 4275, 4797, 3862, 4511, 12844, 3963, 11060, 18083, 11679, 9211, 5542, 477, 2408, 5553, 7489, 7222, 5530
"K1000270 Cysteine and methionine metabolism", 3071, 6241, 8494, 6191, 3919, 0, 9422, 7155, 9510, 5717, 4410, 1606, 1546, 4351, 5508, 4702, 4496, 4893, 10497, 4432, 8800, 14225, 10043, 8748, 5617, 577, 2678, 6129, 7032, 8589, 6019
"K1000280 Valine, leucine and isoleucine degradation", 3324, 7185, 9166, 6890, 5423, 0, 9881, 8091, 12609, 6263, 5210, 1897, 1854, 5275, 6326, 5646, 5176, 5272, 14373, 5783, 12471, 18313, 14151, 10902, 6351, 689, 3368, 7015, 9401, 9606, 7836
"K1000290 Valine, leucine and isoleucine biosynthesis", 3065, 6988, 9371, 6814, 4821, 0, 10111, 7214, 12557, 6138, 5399, 1899, 1646, 5140, 5866, 5564, 5055, 5516, 13492, 5538, 13002, 17792, 13302, 10386, 6978, 528, 2990, 6894, 9014, 10057, 7215
"K1000300 Lysine biosynthesis", 999, 1901, 2762, 1989, 1303, 0, 3001, 2284, 3945, 1766, 1560, 540, 619, 1505, 1834, 1778, 1532, 1746, 4674, 1631, 3736, 6670, 4368, 3541, 2070, 187, 905, 2095, 2835, 2826, 2069
"K1000310 Lysine degradation", 2068, 4394, 5498, 4334, 3504, 0, 5592, 5266, 6782, 3643, 3097, 1137, 1058, 3145, 3809, 3220, 2978, 3057, 7986, 3495, 6877, 10531, 8586, 6055, 3721, 447, 2047, 4158, 5713, 5388, 4621
"K1000330 Arginine and proline metabolism", 3938, 8145, 11418, 8237, 5727, 0, 12205, 10588, 13358, 7553, 6166, 2069, 2233, 5475, 7024, 6837, 6056, 6484, 15371, 5766, 12214, 21368, 13356, 12007, 7414, 876, 3552, 8260, 9255, 10556, 9223
"K1000340 Histidine metabolism", 1415, 3084, 4305, 2745, 2040, 0, 4050, 3671, 5170, 2567, 2337, 694, 696, 2314, 2667, 2499, 2020, 2210, 6594, 2413, 5660, 7778, 10919, 4513, 2584, 333, 1363, 3059, 6351, 3567, 3040
"K1000350 Tyrosine metabolism", 1703, 4173, 5994, 3833, 4538, 0, 5810, 4036, 5896, 3426, 3098, 974, 868, 2701, 4264, 2844, 2719, 2707, 6539, 3667, 5348, 8161, 6492, 5408, 3005, 391, 1698, 3399, 4412, 4964, 4003
"K1000360 Phenylalanine metabolism", 1733, 3687, 5319, 3428, 3585, 0, 5314, 3931, 5412, 3221, 3020, 870, 773, 2508, 3384, 2763, 2803, 2774, 5863, 2995, 4586, 6291, 6107, 5132, 2732, 359, 1528, 3341, 4100, 4636, 3864
"K1000380 Tryptophan metabolism", 2913, 5766, 7407, 5924, 4740, 0, 8242, 7456, 9450, 5094, 4295, 1499, 1422, 4269, 5146, 4578, 4388, 4408, 10699, 4594, 8955, 13352, 11350, 8559, 4855, 583, 2741, 5753, 7612, 7360, 6641
"K1000400 Phenylalanine, tyrosine and tryptophan biosynthesis", 1346, 3038, 4504, 2819, 1945, 0, 4387, 3163, 5256, 2620, 2406, 806, 762, 2081, 2618, 2514, 2156, 2393, 5703, 2419, 4491, 8255, 5592, 4669, 2801, 312, 1172, 3055, 3735, 4149, 2972
"K1000410 beta-Alanine metabolism", 1616, 3279, 4241, 3263, 2295, 0, 4367, 4271, 5280, 2989, 2278, 777, 869, 2313, 2940, 2467, 2245, 2250, 5608, 2292, 4417, 6959, 5750, 4836, 2658, 348, 1546, 2923, 3894, 4123, 3500
"K1000430 Taurine and hypotaurine metabolism", 625, 1500, 1965, 1261, 1217, 0, 1866, 1269, 2222, 1073, 1168, 372, 341, 1132, 1386, 1036, 951, 995, 2616, 1121, 2153, 3497, 2440, 2329, 1306, 89, 641, 1184, 1667, 1720, 1249
"K1000440 Phosphonate and phosphinate metabolism", 64, 119, 187, 124, 55, 0, 157, 181, 214, 83, 59, 31, 37, 53, 112, 138, 106, 99, 319, 97, 323, 615, 170, 172, 118, 15, 58, 142, 143, 148, 90
"K1000450 Selenocompound metabolism", 2107, 4369, 5890, 4303, 2768, 0, 6028, 4601, 6257, 3753, 3001, 1054, 1003, 2770, 3939, 3125, 2996, 3248, 6552, 3063, 5455, 8923, 6514, 5853, 3753, 372, 1846, 4178, 4676, 6122, 4006
"K1000460 Cyanoamino acid metabolism", 940, 1992, 2896, 1775, 1145, 0, 2951, 2626, 3617, 1746, 1532, 558, 508, 1511, 1691, 1717, 1363, 1576, 4680, 1355, 3816, 7664, 3701, 3348, 1877, 215, 925, 1971, 2471, 2734, 2043
"K1000471 D-Glutamine and D-glutamate metabolism", 340, 652, 857, 578, 255, 0, 961, 701, 1006, 534, 412, 183, 205, 365, 487, 642, 509, 591, 1225, 376, 1090, 2188, 846, 964, 544, 55, 208, 876, 644, 788, 551
"K1000472 D-Arginine and D-ornithine metabolism", 7, 23, 35, 29, 19, 0, 34, 25, 71, 21, 26, 10, 4, 21, 22, 20, 17, 20, 73, 9, 37, 112, 89, 57, 27, 4, 15, 31, 62, 30, 27
"K1000473 D-Alanine metabolism", 104, 234, 285, 247, 142, 0, 420, 280, 627, 205, 191, 72, 65, 213, 220, 305, 173, 287, 848, 202, 618, 1673, 701, 497, 288, 27, 102, 320, 424, 331, 259
"K1000480 Glutathione metabolism", 2177, 4297, 6201, 4441, 3087, 0, 6301, 5613, 5998, 3793, 3237, 1148, 1212, 2791, 4097, 3463, 3216, 3264, 7234, 2997, 6126, 10291, 6762, 5945, 3637, 469, 2208, 4065, 4904, 5021, 4362
"K1000510 N-Glycan biosynthesis", 276, 492, 975, 653, 293, 0, 546, 1176, 372, 298, 227, 137, 165, 172, 517, 424, 339, 270, 392, 279, 372, 1421, 431, 386, 273, 96, 259, 418, 381, 410, 361
"K1000513 Various types of N-glycan biosynthesis", 23, 40, 187, 97, 23, 0, 44, 211, 8, 32, 13, 15, 13, 5, 65, 58, 19, 19, 10, 14, 9, 254, 10, 14, 4, 11, 33, 49, 24, 35, 19
"K1000512 Mucin type O-glycan biosynthesis", 10, 17, 29, 23, 5, 0, 12, 39, 3, 9, 2, 8, 3, 1, 16, 14, 9, 18, 0, 5, 0, 25, 0, 3, 3, 1, 9, 20, 12, 7, 3
"K1000514 Other types of O-glycan biosynthesis", 48, 83, 193, 120, 60, 0, 81, 249, 6, 39, 14, 10, 11, 5, 91, 73, 44, 27, 6, 32, 6, 196, 5, 29, 31, 18, 41, 50, 18, 49, 63
"K1000532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate", 5, 6, 10, 3, 2, 0, 2, 6, 1, 1, 0, 0, 1, 2, 2, 1, 2, 4, 0, 2, 0, 2, 2, 0, 1, 1, 4, 4, 1, 0, 1
"K1000534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin", 11, 7, 20, 8, 5, 0, 10, 24, 1, 6, 1, 1, 2, 0, 5, 11, 1, 9, 1, 2, 4, 10, 2, 2, 0, 0, 4, 11, 2, 2, 1
"K1000533 Glycosaminoglycan biosynthesis - keratan sulfate", 1, 0, 4, 4, 0, 0, 2, 4, 0, 1, 1, 0, 0, 1, 1, 4, 2, 4, 0, 0, 0, 5, 0, 1, 0, 0, 0, 5, 0, 0, 1
"K1000531 Glycosaminoglycan degradation", 103, 249, 379, 187, 92, 0, 230, 316, 124, 115, 82, 55, 43, 54, 211, 201, 109, 138, 366, 97, 409, 937, 82, 179, 162, 26, 78, 204, 113, 160, 110
"K1000563 Glycosylphosphatidylinositol(GPI)-anchor biosynthesis", 46, 90, 224, 97, 54, 0, 89, 201, 6, 44, 19, 15, 29, 8, 85, 78, 48, 30, 19, 37, 9, 322, 9, 24, 36, 18, 54, 53, 31, 54, 47
"K1000601 Glycosphingolipid biosynthesis - lacto and neolacto series", 2, 2, 2, 2, 1, 0, 1, 3, 0, 1, 2, 0, 0, 0, 1, 4, 3, 2, 1, 1, 1, 6, 0, 1, 0, 0, 0, 3, 1, 0, 0
"K1000603 Glycosphingolipid biosynthesis - globo series", 148, 360, 649, 392, 155, 0, 406, 559, 210, 196, 143, 84, 114, 85, 342, 293, 193, 222, 348, 162, 318, 1553, 157, 347, 201, 39, 146, 346, 190, 253, 204
"K1000604 Glycosphingolipid biosynthesis - ganglio series", 56, 139, 289, 127, 49, 0, 138, 245, 57, 57, 50, 32, 29, 22, 155, 134, 74, 78, 142, 59, 145, 539, 28, 115, 87, 21, 49, 134, 56, 78, 65
"K1000540 Lipopolysaccharide biosynthesis", 641, 1128, 1833, 1226, 851, 0, 2054, 1205, 2309, 1138, 1017, 414, 399, 908, 1224, 1019, 1094, 891, 1476, 936, 1143, 952, 2158, 2291, 1474, 106, 665, 1174, 1615, 1767, 1366
"K1000550 Peptidoglycan biosynthesis", 964, 1988, 2721, 1862, 1238, 0, 3140, 2040, 4377, 1789, 1499, 603, 593, 1415, 1773, 1997, 1584, 1839, 5047, 1648, 4965, 8713, 4151, 3943, 2403, 150, 802, 2228, 2709, 2953, 2126
"K1000511 Other glycan degradation", 477, 926, 1519, 934, 421, 0, 1127, 1272, 703, 661, 430, 236, 284, 251, 887, 823, 611, 605, 1158, 428, 1238, 3157, 533, 974, 769, 90, 422, 863, 603, 735, 600
"K1000730 Thiamine metabolism", 847, 1986, 2944, 1822, 1767, 0, 2901, 1917, 2695, 2096, 1486, 451, 445, 1312, 1824, 1367, 1411, 1258, 2752, 1761, 1798, 2964, 3425, 2635, 1443, 132, 720, 1673, 2270, 3076, 2243
"K1000740 Riboflavin metabolism", 270, 838, 1246, 817, 1057, 0, 1128, 830, 1060, 643, 423, 141, 142, 395, 1042, 593, 383, 393, 1203, 657, 816, 2200, 1166, 967, 480, 53, 368, 553, 766, 930, 648
"K1000750 Vitamin B6 metabolism", 430, 923, 1270, 854, 620, 0, 1221, 1024, 1852, 770, 653, 254, 239, 738, 793, 834, 640, 796, 2105, 708, 1888, 2821, 2036, 1492, 945, 64, 419, 938, 1313, 1296, 846
"K1000760 Nicotinate and nicotinamide metabolism", 733, 1592, 2365, 1542, 1112, 0, 2329, 1937, 3155, 1287, 1168, 454, 426, 1279, 1416, 1414, 1219, 1424, 4232, 1398, 3726, 6514, 3659, 2684, 1749, 156, 715, 1652, 2398, 2100, 1754
"K1000770 Pantothenate and CoA biosynthesis", 1918, 3968, 5449, 3889, 2840, 0, 6119, 3926, 7115, 3886, 3310, 1083, 1024, 3039, 3435, 3108, 3011, 3050, 7173, 3263, 5889, 8128, 8035, 6064, 3701, 314, 1702, 3740, 5393, 5966, 4386
"K1000780 Biotin metabolism", 126, 203, 320, 235, 124, 0, 344, 239, 576, 207, 151, 44, 86, 166, 199, 208, 150, 177, 361, 177, 261, 439, 449, 473, 208, 25, 83, 202, 289, 323, 262
"K1000785 Lipoic acid metabolism", 142, 337, 474, 295, 234, 0, 447, 339, 655, 244, 232, 109, 93, 233, 278, 297, 259, 310, 770, 256, 735, 1112, 727, 535, 399, 30, 154, 355, 500, 412, 289
"K1000790 Folate biosynthesis", 298, 591, 940, 635, 376, 0, 892, 665, 1196, 510, 434, 168, 191, 392, 568, 578, 507, 550, 1504, 465, 1360, 3046, 1223, 1061, 715, 59, 273, 676, 820, 739, 560
"K1000670 One carbon pool by folate", 972, 1970, 2781, 1999, 1247, 0, 2996, 2295, 3918, 1717, 1362, 552, 532, 1487, 1686, 1840, 1501, 1662, 4411, 1501, 4217, 6843, 4089, 3416, 2105, 205, 909, 2183, 2691, 2885, 1980
"K1000830 Retinol metabolism", 425, 890, 1278, 917, 1637, 0, 1244, 1009, 1409, 765, 676, 262, 204, 675, 1048, 630, 668, 659, 1087, 1014, 828, 907, 1749, 1307, 683, 87, 448, 735, 1234, 1026, 1006
"K1000860 Porphyrin and chlorophyll metabolism", 1246, 2756, 3698, 2579, 1868, 0, 4116, 2852, 6258, 2432, 2161, 775, 702, 2111, 2408, 2351, 2113, 2213, 6246, 2115, 4848, 8669, 6846, 5119, 2710, 234, 1185, 2721, 4304, 4237, 3133
"K1000130 Ubiquinone and other terpenoid-quinone biosynthesis", 524, 1081, 1698, 1132, 720, 0, 1556, 1174, 1896, 868, 736, 322, 300, 661, 1052, 970, 940, 853, 1989, 860, 1627, 3483, 1809, 1755, 1062, 99, 457, 1059, 1320, 1376, 989
"K1000522 Biosynthesis of 12-, 14- and 16-membered macrolides", 0, 0, 4, 0, 0, 0, 0, 0, 9, 3, 0, 2, 1, 0, 3, 1, 0, 0, 0, 2, 0, 1, 0, 0, 2, 1, 0, 0, 0, 2, 0
"K1001051 Biosynthesis of ansamycins", 605, 1291, 1614, 1229, 863, 0, 1605, 1224, 1870, 1008, 887, 326, 314, 798, 1053, 901, 974, 916, 1723, 791, 1390, 2020, 1985, 1459, 978, 105, 540, 1090, 1404, 1381, 1321
"K1001056 Biosynthesis of type II polyketide backbone", 3, 20, 14, 9, 9, 0, 19, 17, 68, 16, 11, 3, 0, 5, 13, 24, 10, 19, 104, 23, 139, 157, 50, 22, 51, 0, 5, 17, 25, 24, 20
"K1001057 Biosynthesis of type II polyketide products", 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 2, 1, 1, 1, 2, 5, 0, 0, 0, 0, 0, 3, 1, 1
"K1000253 Tetracycline biosynthesis", 242, 530, 859, 593, 410, 0, 850, 588, 931, 523, 360, 164, 190, 317, 523, 463, 399, 397, 594, 407, 470, 751, 833, 965, 555, 43, 264, 591, 615, 737, 587
"K1000523 Polyketide sugar unit biosynthesis", 338, 696, 1015, 667, 466, 0, 1042, 758, 995, 743, 546, 204, 178, 375, 600, 641, 507, 555, 1256, 497, 1277, 1958, 863, 968, 772, 54, 300, 697, 684, 948, 672
"K1001053 Biosynthesis of siderophore group nonribosomal peptides", 31, 70, 71, 53, 44, 0, 116, 62, 303, 53, 61, 19, 18, 42, 63, 68, 57, 65, 190, 50, 119, 383, 247, 156, 73, 3, 29, 67, 147, 99, 118
"K1001055 Biosynthesis of vancomycin group antibiotics", 159, 315, 479, 314, 204, 0, 437, 349, 488, 306, 239, 101, 98, 159, 278, 272, 237, 226, 506, 210, 502, 694, 372, 440, 349, 19, 119, 310, 291, 427, 282
"K1000900 Terpenoid backbone biosynthesis", 1693, 3754, 5280, 3734, 3153, 0, 5085, 3633, 6330, 3026, 2821, 1135, 975, 2860, 3421, 2950, 2912, 2979, 7047, 3411, 5863, 8947, 8264, 5247, 3659, 313, 1839, 3683, 5501, 5250, 3768
"K1000904 Diterpenoid biosynthesis", 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 3, 0, 0, 0, 4, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 5, 3, 6
