#Datasets,4_TES_45_mRNA,5_TES_129_mRNA,7_TES_027_mRNA,17_TES_144_mRNA,23_TES_136_mRNA,32_TES_43_mRNA,37_TES_034_mRNA,42_TES_027_mRNA,44_TES_140_mRNA,49_TES_40_mRNA,55_TES_134_mRNA,58_TES_130_merged_mRNA,59_TES_139_mRNA,66_TES_026_mRNA,70_TES_135_mRNA,73_TES_031_mRNA,79_TES_35_mRNA,85_TES_029_mRNA,86_TES_44_mRNA,87_TES_128_mRNA,90_TES_138_mRNA,104_TES_131_mRNA,110_TES_036_mRNA,113_TES_122_mRNA,117_TES_141_mRNA,119_TES_042_mRNA,122_TES_121_mRNA,123_TES_033_mRNA,130_TES_133_mRNA,137_TES_038_mRNA,143_TES_025_mRNA
"Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_54_36b",0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candidatus Liptonbacteria bacterium RIFCSPLOWO2_01_FULL_52_25",0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0
"Candidatus Vecturithrix granuli",0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,371.0,232.0,100.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
"Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12",0.0,0.0,163.0,214.0,150.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,124.0,0.0,188.0,0.0,324.0,0.0,327.0,241.0,0.0,0.0,343.0,0.0,664.0,0.0
"uncultured bacterium",1303.0,2392.0,1864.0,1469.0,3890.0,0.0,5379.0,1304.0,3505.0,4954.0,2568.0,384.0,454.0,2353.0,2087.0,1320.0,1620.0,1125.0,4519.0,2163.0,2862.0,1153.0,3829.0,3342.0,1236.0,148.0,796.0,1531.0,2454.0,3907.0,4977.0
"uncultured bacterium 12AC_lac13",54.0,0.0,0.0,0.0,138.0,0.0,224.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
"uncultured bacterium 70",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
"uncultured bacterium BAC10-10",136.0,317.0,0.0,0.0,0.0,0.0,614.0,0.0,229.0,348.0,283.0,60.0,0.0,129.0,339.0,136.0,357.0,92.0,537.0,0.0,172.0,0.0,362.0,0.0,0.0,14.0,99.0,105.0,230.0,0.0,308.0
"uncultured bacterium CSL144",0.0,0.0,0.0,0.0,206.0,0.0,213.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,208.0
"uncultured bacterium CSLG7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lentimicrobium saccharophilum",67.0,0.0,174.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,41.0,0.0,153.0,86.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,95.0,0.0,0.0,0.0,0.0
"Niastella koreensis",113.0,244.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,109.0,0.0,36.0,0.0,0.0,223.0,137.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,101.0,0.0,0.0,0.0,0.0
"Niastella sp. SCN 39-18",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Segetibacter koreensis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
"Chitinophagaceae bacterium PMP191F",93.0,182.0,199.0,215.0,0.0,0.0,220.0,231.0,0.0,0.0,0.0,29.0,52.0,0.0,199.0,107.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,72.0,116.0,0.0,0.0,0.0
"Mucilaginibacter gotjawali",134.0,214.0,237.0,623.0,104.0,0.0,319.0,795.0,0.0,168.0,0.0,49.0,515.0,0.0,319.0,205.0,96.0,160.0,0.0,92.0,0.0,762.0,0.0,0.0,0.0,112.0,77.0,250.0,0.0,0.0,123.0
"Mucilaginibacter mallensis",0.0,0.0,0.0,388.0,0.0,0.0,0.0,1122.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mucilaginibacter paludis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
"Mucilaginibacter sp. L294",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
"Mucilaginibacter sp. OK283",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mucilaginibacter sp. PAMC 26640",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
"Mucilaginibacter sp. PPCGB 2223",0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,176.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
"Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_35_15",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cytophagales bacterium B6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
"Gemmatimonas phototrophica",58.0,107.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,136.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
"Gemmatimonas sp. SG8_17",0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,162.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gemmatimonas sp. SG8_23",100.0,212.0,0.0,0.0,0.0,0.0,457.0,0.0,238.0,306.0,208.0,0.0,0.0,112.0,215.0,101.0,157.0,0.0,249.0,0.0,158.0,0.0,210.0,0.0,0.0,24.0,62.0,0.0,141.0,0.0,261.0
"Gemmatimonas sp. SG8_28",0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,838.0,124.0,111.0,0.0,0.0,200.0,0.0,0.0,90.0,0.0,299.0,174.0,219.0,0.0,2210.0,0.0,0.0,0.0,0.0,157.0,1128.0,0.0,0.0
"Gemmatimonas sp. SM23_52",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gemmatirosa kalamazoonesis",171.0,476.0,303.0,180.0,191.0,0.0,741.0,215.0,842.0,598.0,328.0,51.0,61.0,354.0,315.0,208.0,282.0,141.0,493.0,255.0,390.0,0.0,626.0,781.0,292.0,30.0,135.0,245.0,372.0,733.0,551.0
"Gemmatimonadetes bacterium SCN 70-22",97.0,237.0,0.0,0.0,0.0,0.0,361.0,0.0,318.0,245.0,124.0,0.0,0.0,161.0,134.0,117.0,149.0,0.0,273.0,117.0,221.0,0.0,306.0,345.0,161.0,15.0,59.0,132.0,203.0,350.0,277.0
"Candidatus Entotheonella factor",607.0,1153.0,852.0,658.0,1467.0,0.0,3156.0,530.0,2195.0,2137.0,1927.0,303.0,147.0,1650.0,1241.0,597.0,1031.0,466.0,3986.0,1017.0,2048.0,321.0,3465.0,1227.0,561.0,65.0,510.0,690.0,2078.0,1752.0,2508.0
